          (   0,    1) (   0,    2) (   7,    3) (   0,    2) (   0,    3) (   7,    3) (   0,    2) (   0,    3) (   7,    3) (   0,    1)
          (   0,    3) (   7,    2) (   0,    2) (   0,    3) (   8,    2) (   0,    1) (   0,    3) (   7,    3) (   0,    2) (   0,    2)
          (   7,    3) (   0,    2) (   0,    2) (   7,    2) (   0,    1) (   0,    3) (   7,    2) (   0,    1) (   0,    3) (   7,    3)
          (   0,    2) (   0,    3) (   6,    2) (   0,    2) (   0,    3) (   5,    3) (   0,    2) (   0,    3) (   6,    1) (   0,    1)
          (   0,    3) (   8,    3) (   0,    2) (   0,    3) (   8,    3) (   0,    2) (   0,    1) (   8,    3) (   0,    2) (   0,    3)
          (   6,    2) (   0,    1) (   0,    2) (   7,    3) (   0,    1) (   0,    3) (   8,    3) (   0,    2) (   0,    3) (   8,    1)
          (   0,    2) (   0,    2) (   8,    3) (   0,    2) (   0,    3) (   6,    2) (   0,    2) (   0,    3) (   7,    3) (   0,    2)
          (   0,    3) (   8,    3) (   0,    2) (   0,    3) (   6,    3) (   0,    2) (   0,    2) (   7,    3) (   0,    2) (   0,    3)
          (   7,    3) (   0,    2) (   0,    3) (   6,    3) (   0,    2) (   0,    2) (   8,    3) (   0,    2) (   0,    3) (   8,    1)
          (   0,    1) (   0,    2) (   7,    3) (   0,    1) (   0,    3) (   7,    3) (   0,    2) (   0,    2) (   7,    2) (   0,    1)
          (   0,    3) (   8,    3) (   0,    2) (   0,    2) (   8,    3) (   0,    2) (   0,    3) (   8,    2) (   0,    2) (   0,    3)
          (   7,    2) (   0,    1) (   0,    3) (   8,    3) (   0,    2) (   0,    3) (   8,    3) (   0,    2) (   0,    3) (   8,    3)
